Radius,1.0.0,1.6.4,1.8.9,,Radius,1.9.4,1.12.2,1.13.2,1.17.1,1.20.6
8,0,0,0,,128,0,0,0,0,0
16,0,0,0,,256,0,0,0,0,0
24,0,0,0,,384,0,0,0,0,0
32,0,0,0,,512,0,0,0,0,0
40,0,0,0,,640,0,0,0,0,0
48,0,0,0,,768,0,0,0,0,0
56,0,0,0,,896,0,0,0,0,0
64,0,0,0,,1024,0,0,0,0,0
72,0,0,0,,1152,0,0,0,0,0
80,0,0,0,,1280,296,295,45,46,49
88,0,0,0,,1408,8681,8686,6462,6453,5929
96,0,0,0,,1536,20565,20565,23041,23045,23754
104,0,0,0,,1664,29710,29703,29992,30030,30033
112,0,0,0,,1792,30026,30025,30163,30153,30113
120,0,0,0,,1920,30252,30253,30236,30283,29843
128,0,0,0,,2048,29963,29971,29886,29834,29869
136,0,0,0,,2176,30278,30269,30258,30278,30208
144,0,0,0,,2304,29952,29961,30019,30013,30064
152,0,0,0,,2432,30135,30122,30012,30005,29824
160,0,0,0,,2560,29595,29593,29911,29887,30104
168,0,0,0,,2688,21405,21406,23561,23552,23993
176,0,0,0,,2816,8873,8882,6355,6365,6169
184,0,0,0,,2944,269,269,59,56,48
192,0,0,0,,3072,0,0,0,0,0
200,0,0,0,,3200,0,0,0,0,0
208,0,0,0,,3328,0,0,0,0,0
216,0,0,0,,3456,0,0,0,0,0
224,0,0,0,,3584,0,0,0,0,0
232,0,0,0,,3712,0,0,0,0,0
240,0,0,0,,3840,0,0,0,0,0
248,0,0,0,,3968,0,0,0,0,0
256,0,0,0,,4096,0,0,0,0,0
264,0,0,0,,4224,0,0,0,0,0
272,0,0,0,,4352,513,516,108,119,102
280,0,0,0,,4480,17369,17371,12861,12862,12192
288,0,0,0,,4608,42621,42620,46934,46947,47653
296,0,0,0,,4736,58926,58932,59734,59785,59887
304,0,0,0,,4864,60323,60276,59790,59818,59996
312,0,0,0,,4992,60084,60099,60499,60406,60106
320,0,0,0,,5120,59688,59708,59848,59824,59617
328,0,0,0,,5248,59939,59931,59807,59855,60268
